module_id	module_name	gene_id	requirement	weight	hmm_available	hmm_path
SP001	Sporulation initiation	spo0A	required	1.0	yes	database/gutspore/reference_v3/hmm/spo0A.hmm
SP001	Sporulation initiation	sigH	supporting	1.0	yes	database/gutspore/reference_v3/hmm/sigH.hmm
SP001	Sporulation initiation	spo0F	optional	1.0	no	database/gutspore/reference_v3/hmm/spo0F.hmm
SP001	Sporulation initiation	spo0B	optional	1.0	no	database/gutspore/reference_v3/hmm/spo0B.hmm
SP001	Sporulation initiation	kinA	optional	1.0	no	database/gutspore/reference_v3/hmm/kinA.hmm
SP001	Sporulation initiation	kinB	optional	1.0	no	database/gutspore/reference_v3/hmm/kinB.hmm
SP001	Sporulation initiation	kinC	optional	1.0	no	database/gutspore/reference_v3/hmm/kinC.hmm
SP002	Asymmetric septation and SigF activation	spoIIE	required	2.0	yes	database/gutspore/reference_v3/hmm/spoIIE.hmm
SP002	Asymmetric septation and SigF activation	sigF	required	2.0	yes	database/gutspore/reference_v3/hmm/sigF.hmm
SP002	Asymmetric septation and SigF activation	spoIIAA	supporting	1.0	yes	database/gutspore/reference_v3/hmm/spoIIAA.hmm
SP002	Asymmetric septation and SigF activation	spoIIAB	supporting	1.0	yes	database/gutspore/reference_v3/hmm/spoIIAB.hmm
SP003	Forespore signaling and early engulfment	spoIIR	required	2.0	yes	database/gutspore/reference_v3/hmm/spoIIR.hmm
SP003	Forespore signaling and early engulfment	spoIID	required	2.0	yes	database/gutspore/reference_v3/hmm/spoIID.hmm
SP003	Forespore signaling and early engulfment	spoIIP	required	2.0	yes	database/gutspore/reference_v3/hmm/spoIIP.hmm
SP003	Forespore signaling and early engulfment	spoIIQ	supporting	1.0	yes	database/gutspore/reference_v3/hmm/spoIIQ.hmm
SP004	Engulfment machinery	spoIID	required	2.0	yes	database/gutspore/reference_v3/hmm/spoIID.hmm
SP004	Engulfment machinery	spoIIM	required	2.0	yes	database/gutspore/reference_v3/hmm/spoIIM.hmm
SP004	Engulfment machinery	spoIIP	required	2.0	yes	database/gutspore/reference_v3/hmm/spoIIP.hmm
