family	n_sequences	status
cspA	20	BUILT
cspB	20	BUILT
cspC	20	BUILT
cwlD	20	BUILT
cwlJ	20	BUILT
dacB	20	BUILT
dacF	20	BUILT
divIVA	20	BUILT
gerAA	20	BUILT
gerAB	20	BUILT
gerAC	20	BUILT
gerD	20	BUILT
gerS	20	BUILT
gpr	20	BUILT
sigE	20	BUILT
sigF	20	BUILT
sigG	20	BUILT
sigH	20	BUILT
sigK	20	BUILT
sleB	20	BUILT
sleC	20	BUILT
spmA	20	BUILT
spmB	20	BUILT
spo0A	20	BUILT
spo0JA	1	SKIPPED_TOO_FEW_SEQUENCES
spo0JB	1	SKIPPED_TOO_FEW_SEQUENCES
spoIIAA	20	BUILT
spoIIAB	20	BUILT
spoIID	20	BUILT
spoIIE	20	BUILT
spoIIGA	20	BUILT
spoIIIAA	20	BUILT
spoIIIAB	20	BUILT
spoIIIAC	20	BUILT
spoIIIAD	20	BUILT
spoIIIAE	20	BUILT
spoIIIAF	20	BUILT
spoIIIAG	20	BUILT
spoIIIAH	20	BUILT
spoIIID	20	BUILT
spoIIIE	20	BUILT
spoIIIJ	20	BUILT
spoIIM	20	BUILT
spoIIP	20	BUILT
spoIIQ	20	BUILT
spoIIR	20	BUILT
spoIVA	20	BUILT
spoIVFB	20	BUILT
spoVAC	20	BUILT
spoVAD	20	BUILT
spoVAEB	20	BUILT
spoVB	20	BUILT
spoVD	20	BUILT
spoVE	20	BUILT
spoVFA	20	BUILT
spoVFB	20	BUILT
spoVT	20	BUILT
sspA	20	BUILT
sspB	20	BUILT
yabP	20	BUILT
ypeB	20	BUILT
yqfD	20	BUILT
