gene_id	modules	requirements
cwlD	SP006	supporting
sigE	SP005	required
sigF	SP002	required
sigG	SP008	required
sigH	SP001	supporting
sigK	SP009	required
spo0A	SP001	required
spoIIAA	SP002	supporting
spoIIAB	SP002	supporting
spoIID	SP003,SP004	required,required
spoIIE	SP002	required
spoIIGA	SP005	required
spoIIIAA	SP004	optional
spoIIIAB	SP004	optional
spoIIIAC	SP004	optional
spoIIIAD	SP004	optional
spoIIIAE	SP004	optional
spoIIIAF	SP004	optional
spoIIIAG	SP004	optional
spoIIIAH	SP004	supporting
spoIIM	SP004	required
spoIIP	SP003,SP004	required,required
spoIIQ	SP003,SP004	supporting,supporting
spoIIR	SP003,SP005	required,supporting
spoIVA	SP007	required
spoIVFB	SP009	supporting
spoVAC	SP008	required
spoVAD	SP008	supporting
spoVB	SP006	supporting
spoVD	SP006	required
spoVE	SP006	required
sspA	SP008	supporting
sspB	SP008	supporting
